Entry	Entry Name	Protein names	Gene Names	Mass	Interacts with	Subunit structure
O31602	SPX_BACSU	Global transcriptional regulator Spx (Redox-responsive transcription factor Spx) (Suppressor of clpP and clpX) (Spx)	spx spxA yjbD BSU11500	15529	P37871; O31606	SUBUNIT: Interacts with the C-terminal domain of the alpha subunit of the RNAP (PubMed:12642660, PubMed:16249335, PubMed:19580872, PubMed:20084284, PubMed:22307755). A single Spx monomer interacts with RNAP to form the transcription activation complex (PubMed:22307755). Interacts with the adapter protein SpxH/YjbH (PubMed:19074380, PubMed:24942655, PubMed:30982633). {ECO:0000269|PubMed:12642660, ECO:0000269|PubMed:16249335, ECO:0000269|PubMed:19074380, ECO:0000269|PubMed:19580872, ECO:0000269|PubMed:20084284, ECO:0000269|PubMed:22307755, ECO:0000269|PubMed:24942655, ECO:0000269|PubMed:30982633}.
O31611	YJBM_BACSU	GTP pyrophosphokinase YjbM (EC 2.7.6.5) ((p)ppGpp synthase YjbM) (Small alarmone synthase 1) (SAS 1)	yjbM BSU11600	24704		SUBUNIT: Homotetramer (PubMed:26460002). {ECO:0000269|PubMed:26460002}.
O31612	NADK1_BACSU	NAD kinase 1 (EC 2.7.1.23) (ATP-dependent NAD kinase) (Poly(P)-dependent NAD kinase) (PPNK)	ppnKA nadF yjbN BSU11610	30012		SUBUNIT: Homodimer. {ECO:0000269|PubMed:12897004}.
O31616	GLYOX_BACSU	Glycine oxidase (GO) (EC 1.4.3.19)	thiO goxB yjbR BSU11670	40937		SUBUNIT: Homotetramer. {ECO:0000269|PubMed:12627963, ECO:0000269|PubMed:15105420, ECO:0000269|PubMed:19864430, ECO:0000269|PubMed:9827558}.
O31644	MANR_BACSU	Transcriptional regulator ManR (Mannose operon transcriptional activator) [Includes: Putative phosphotransferase enzyme IIB component (EC 2.7.1.191) (Putative PTS system EIIB component); Putative phosphotransferase enzyme IIA component (Putative PTS system EIIA component)]	manR BSU12000	75351		
O31645	PTN3B_BACSU	PTS system mannose-specific EIIBCA component (EIIBCA-Man) (EII-Man) [Includes: Mannose-specific phosphotransferase enzyme IIB component (EC 2.7.1.191) (PTS system mannose-specific EIIB component); Mannose permease IIC component (PTS system mannose-specific EIIC component); Mannose-specific phosphotransferase enzyme IIA component (PTS system mannose-specific EIIA component)]	manP yjdD BSU12010	69026		
O31662	MTNA_BACSU	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase)	mtnA ykrS BSU13550	38860		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01678, ECO:0000269|PubMed:17690466, ECO:0000269|PubMed:18156470}.
O31677	QUEE_BACSU	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)	queE ykvL BSU13740	27122		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00917, ECO:0000269|PubMed:23194065}.
O31678	QUEF_BACSU	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) (7-cyano-7-carbaguanine reductase) (NADPH-dependent nitrile oxidoreductase) (PreQ(0) reductase)	queF ykvM BSU13750	19375		SUBUNIT: Forms an asymmetric tunnel-fold homodecamer of two head-to-head facing pentamers, harboring 10 active sites at the intersubunit interfaces. {ECO:0000269|PubMed:22787148}.
O31691	GLCT_BACSU	PtsGHI operon antiterminator (RNA-binding antitermination protein GlcT)	glcT ykwA BSU13880	32755		SUBUNIT: Homodimer (By similarity). The monomeric form probably also exists but it would be inactive in RNA binding and antitermination. {ECO:0000250}.
O31718	RPOY_BACSU	DNA-directed RNA polymerase subunit epsilon (RNAP epsilon subunit) (EC 2.7.7.6) (DNA-directed RNA polymerase subunit omega 1) (RNA polymerase epsilon subunit) (RNA polymerase omega 1 subunit) (Transcriptase subunit epsilon) (Transcriptase subunit omega 1)	rpoY ykzG BSU14540	8252		SUBUNIT: Monomer (By similarity). RNAP is composed of a core of 2 alpha, a beta and a beta' subunit. The core is associated with a delta subunit, and at least one of epsilon or omega (PubMed:18289874, PubMed:21710567, PubMed:25092033, PubMed:6802805). When a sigma factor is associated with the core the holoenzyme is formed, which can initiate transcription (PubMed:18289874). {ECO:0000250|UniProtKB:A0A0K2H5X8, ECO:0000269|PubMed:18289874, ECO:0000269|PubMed:21710567, ECO:0000269|PubMed:25092033, ECO:0000269|PubMed:6802805}.
O31749	PYRH_BACSU	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH smbA BSU16510	26083		SUBUNIT: Homohexamer (PubMed:12869195). Interacts with BrxC (PubMed:33722570). {ECO:0000269|PubMed:12869195, ECO:0000269|PubMed:33722570}.
O31760	RNJ2_BACSU	Ribonuclease J2 (RNase J2) (EC 3.1.-.-)	rnjB ymfA BSU16780	61175	Q45493	SUBUNIT: Unclear whether it forms homodimers or belongs to a larger complex. According to (PubMed:20025672) probably does not form homodimers, while (PubMed:21893285) shows homodimer formation. Both reports show RNase J1 and J2 interaction, probably as a heterotetramer (PubMed:19193632) shows it is a component of a possible RNA degradosome complex composed of rny, rnjA, rnjB, pnp, pfkA and eno, while (PubMed:20025672) finds no evidence of an RNA degradosome complex. {ECO:0000269|PubMed:19193632, ECO:0000269|PubMed:20025672, ECO:0000269|PubMed:21803996, ECO:0000269|PubMed:21893285, ECO:0000269|PubMed:21893286}.
O31774	RNY_BACSU	Ribonuclease Y (RNase Y) (EC 3.1.-.-)	rny ymdA BSU16960	58919	P96614; P37869; O34529; P50849; Q45493; O31774	SUBUNIT: Homodimer (Probable). Component of a possible RNA degradosome complex composed of rny, rnjA, rnjB, pnp, pfkA and eno (PubMed:19193632) (although rnjA and rnjB's presence is unclear). Interacts with RNA helicase CshA which may also be a member of the RNA degradosome complex (PubMed:20572937). Interacts with full-length dynamin-like protein DynA (PubMed:23060960). {ECO:0000269|PubMed:19193632, ECO:0000269|PubMed:20572937, ECO:0000269|PubMed:21803996, ECO:0000269|PubMed:22198292, ECO:0000269|PubMed:23060960, ECO:0000305}.
O31775	YMDB_BACSU	2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) (Global regulator YmdB)	ymdB BSU16970	29289		SUBUNIT: Homodimer. {ECO:0000269|PubMed:24163345}.
O31854	CDAS_BACSU	Cyclic di-AMP synthase CdaS (c-di-AMP synthase) (EC 2.7.7.85) (Diadenylate cyclase) (DAC)	cdaS dacB yojJ BSU19430	22927		SUBUNIT: Forms dimers and probably also hexamers; the dimer may be active while the hexamer may not be active. {ECO:0000250|UniProtKB:Q812L9, ECO:0000269|PubMed:24939848}.
O32001	YOKF_BACSU	SPbeta prophage-derived endonuclease YokF (EC 3.1.-.-)	yokF BSU21610	33003		
O32076	FLOT_BACSU	Flotillin-like protein FloT (Bacterial flotillin homolog YuaG)	floT yuaG yuaH BSU31010	55994		SUBUNIT: Homooligomerizes (PubMed:25909364). Oligomerizes in very large complexes in vitro. Interacts with FloA, FtsH, FtsX, OppA, SdhA and SecY in detergent-resistant membrane (DRM) fractions (PubMed:23651456). Interacts with FtsH at midcell (Probable). Interacts with FloA (PubMed:25909364). Interacts in vivo with KinC, FloA, FtsH and ResE (PubMed:26297017). Interacts with ResE, colocalizes with ResE in FloT-only membrane rafts (PubMed:25909364). Another study shows nearly complete colocalization with NfeD2, but only minor colocalization with FtsH or KinC (PubMed:27362352). {ECO:0000269|PubMed:23651456, ECO:0000269|PubMed:25909364, ECO:0000269|PubMed:26297017, ECO:0000269|PubMed:27362352, ECO:0000305|PubMed:22882210}.
O32129	LIPA_BACSU	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA yutB BSU32330	33921		
O32141	PUCL_BACSU	Uric acid degradation bifunctional protein PucL [Includes: 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (OHCU decarboxylase) (EC 4.1.1.97); Uricase (EC 1.7.3.3) (Urate oxidase)]	pucL yunL BSU32450	56560		
O32142	HIUH_BACSU	5-hydroxyisourate hydrolase (HIU hydrolase) (HIUHase) (EC 3.5.2.17) (Transthyretin-related protein) (TRP)	pucM yunM BSU32460	12635	O32142	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:16782815}.
O32148	PUCG_BACSU	(S)-ureidoglycine--glyoxylate transaminase (UGXT) (EC 2.6.1.112) ((S)-ureidoglycine--glyoxylate aminotransferase) (Purine catabolism protein PucG)	pucG yurG BSU32520	45743		SUBUNIT: Homodimer. {ECO:0000269|PubMed:20852637}.
O32163	SUFU_BACSU	Zinc-dependent sulfurtransferase SufU (EC 2.-.-.-) (Putative iron-sulfur cluster assembly scaffold protein SufU) (Sulfur acceptor protein SufU)	sufU iscU nifU yurV BSU32680	16166	O32164	SUBUNIT: Interacts with SufS; this interaction enhances SufS cysteine desulfurase activity. Interacts with frataxin/Fra (PubMed:27382962). {ECO:0000269|PubMed:20822158, ECO:0000269|PubMed:21236255, ECO:0000269|PubMed:27382962}.
O32164	SUFS_BACSU	Cysteine desulfurase SufS (EC 2.8.1.7)	sufS csd yurW BSU32690	44922	O32163	SUBUNIT: Homodimer (PubMed:27382962). Interacts with SufU; this interaction induces an opening of the active site pocket of SufS (PubMed:27382962). Interacts with frataxin/Fra (PubMed:27382962). {ECO:0000269|PubMed:20822158, ECO:0000269|PubMed:21236255, ECO:0000269|PubMed:27382962}.
O32219	CADA_BACSU	Cadmium, zinc and cobalt-transporting ATPase (EC 7.2.2.12) (EC 7.2.2.21)	cadA yvgW BSU33490	75405		
O32220	COPA_BACSU	Copper-exporting P-type ATPase (Protein CopA) (EC 7.2.2.8) (Copper-exporting P-type ATPase A) (Cu(+)-exporting ATPase)	copA yvgX BSU33500	85912	O32220	SUBUNIT: Monomer at sub-stoichiometric copper concentrations. Homodimer at higher copper concentrations. Forms a heterodimer (electrostatic interactions) with CopZ during the transfer of Cu(+). {ECO:0000269|PubMed:11922674, ECO:0000269|PubMed:18215122}.
O32224	AZOR2_BACSU	FMN-dependent NADH:quinone oxidoreductase 2 (EC 1.6.5.-) (Azo-dye reductase 2) (FMN-dependent NADH-azo compound oxidoreductase 2) (FMN-dependent NADH-azoreductase 2) (EC 1.7.1.17)	azoR2 yvaB BSU33540	23272		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01216, ECO:0000269|PubMed:17284825}.
O34313	NTPES_BACSU	Trifunctional nucleotide phosphoesterase protein YfkN [Includes: 2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase (EC 3.1.3.6) (EC 3.1.4.16); 5'-nucleotidase (EC 3.1.3.5)]	yfkN BSU07840	159706		
O34327	RAPJ_BACSU	Response regulator aspartate phosphatase J (EC 3.1.3.-)	rapJ ycdE BSU02820	44414	P94416; P06628	SUBUNIT: Monomer in solution (PubMed:23526881). Homodimer (PubMed:21346797). {ECO:0000269|PubMed:21346797, ECO:0000269|PubMed:23526881}.
O34344	SDPC_BACSU	Sporulation delaying protein C (SdpC) (Cannibalism toxin SDP) (Killing factor SdpC) (Toxic peptide SdpC) [Cleaved into: Sporulation delaying protein (SDP)]	sdpC yvaY BSU33770	22221		SUBUNIT: Proprotein probably interacts with chaperone CsaA. {ECO:0000269|PubMed:13129613, ECO:0000305|PubMed:10816431}.
O34398	LIGD_BACSU	Bifunctional non-homologous end joining protein LigD (NHEJ DNA polymerase) [Includes: DNA ligase (Lig) (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP]); DNA repair polymerase (Pol) (Polymerase/primase)]	ligd ykoU BSU13400	70204		SUBUNIT: Interacts with Ku. {ECO:0000250}.
O34403	FPG_BACSU	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM fpg ytaE BSU29080	31002		SUBUNIT: Monomer. {ECO:0000250}.
O34425	G3P2_BACSU	Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH) (EC 1.2.1.59) (NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase)	gapB BSU29020	37476		SUBUNIT: Homotetramer (By similarity). Interacts with BrxC (PubMed:33722570). {ECO:0000250|UniProtKB:P00362, ECO:0000269|PubMed:33722570}.
O34431	ATCL_BACSU	Calcium-transporting ATPase (EC 7.2.2.10) (Calcium pump)	yloB BSU15650	97293		
O34450	NAGA_BACSU	N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase) (EC 3.5.1.25)	nagA BSU35010	42622		SUBUNIT: Homodimer. {ECO:0000269|PubMed:14557261}.
O34481	RECD2_BACSU	ATP-dependent RecD2 DNA helicase (EC 5.6.2.3) (DNA 5'-3' helicase RecD2)	recD2 recDB yrrC BSU27480	89184		SUBUNIT: Interacts with SsbA (PubMed:21170359, PubMed:24443534, PubMed:35234892). {ECO:0000269|PubMed:21170359, ECO:0000269|PubMed:24443534, ECO:0000269|PubMed:35234892}.
O34483	HPRK_BACSU	HPr kinase/phosphorylase (HPrK/P) (EC 2.7.11.-) (EC 2.7.4.-) (HPr kinase/phosphatase) (HPr(Ser) kinase/phosphorylase)	hprK ptsK yvoB BSU35000	34702	P11065; O31435; P96716	SUBUNIT: Homohexamer.
O34507	PRKC_BACSU	Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)	prkC yloP BSU15770	71866	P37562; O31435; P96716	SUBUNIT: Homodimer. {ECO:0000269|PubMed:12406230}.
O34513	TMCAL_BACSU	tRNA(Met) cytidine acetate ligase (EC 6.3.4.-)	tmcAL ylbM BSU15060	46989		SUBUNIT: Homodimer. {ECO:0000269|PubMed:30150682}.
O34521	PTWCB_BACSU	PTS system N-acetylglucosamine-specific EIICB component (EIICB-Nag) [Includes: N-acetylglucosamine permease IIC component (PTS system N-acetylglucosamine-specific EIIC component); N-acetylglucosamine-specific phosphotransferase enzyme IIB component (EC 2.7.1.193) (PTS system N-acetylglucosamine-specific EIIB component)]	nagP yflF BSU07700	48580		SUBUNIT: Interacts with FloT. {ECO:0000269|PubMed:23651456}.
O34525	SPPA_BACSU	Putative signal peptide peptidase SppA (EC 3.4.21.-)	sppA yteI BSU29530	36673		SUBUNIT: Homooctamer, assembles into a ring structure with a central cavity (PubMed:22472423, PubMed:24228759). Interacts with FloT (PubMed:23651456). {ECO:0000269|PubMed:22472423, ECO:0000269|PubMed:23651456, ECO:0000269|PubMed:24228759}.
O34527	CYMR_BACSU	HTH-type transcriptional regulator CymR (Cysteine metabolism repressor)	cymR yrzC BSU27520	15255	O34527	SUBUNIT: Homodimer. Forms homotetramers at higher concentrations of protein. Forms CymR(2):CysK(2) or CymR(4):CysK(4) complexes in the absence of O-acetylserine. {ECO:0000269|PubMed:18974048}.
O34530	RSGA_BACSU	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-) (Ribosome-associated GTPase CpgA)	rsgA cpgA engC yloQ BSU15780	33797		SUBUNIT: Monomer, but able to form dimers (PubMed:16485133). Associates with 30S ribosomal subunit; a phospho-mimetic mutation increases association (PubMed:22544754). Probably binds 16S rRNA. {ECO:0000269|PubMed:16485133, ECO:0000269|PubMed:22544754, ECO:0000305|PubMed:15223319}.
O34539	NDPGT_BACSU	NDP-glycosyltransferase YjiC (EC 2.4.1.384) (UDP-glycosyltransferase YjiC)	yjiC BSU12220	43988		SUBUNIT: Monomer. {ECO:0000269|PubMed:33152360, ECO:0000269|PubMed:33310191}.
O34559	URHG2_BACSU	Unsaturated rhamnogalacturonyl hydrolase YteR (URH) (EC 3.2.1.172)	yteR BSU30120	42969		SUBUNIT: Monomer. {ECO:0000269|PubMed:16781735, ECO:0000269|PubMed:16870154}.
O34614	MNMM_BACSU	tRNA (mnm(5)s(2)U34)-methyltransferase (EC 2.1.1.61) (5-aminomethyl-2-thiouridine methyltransferase) (MnmC-like methyltransferase) (bsMnmM) (tRNA 5-(aminomethyl)-2-thiouridylate-methyltransferase)	mnmM ytqB BSU30490	21283		SUBUNIT: Homodimer. {ECO:0000269|PubMed:36762482}.
O34676	KAMA_BACSU	L-lysine 2,3-aminomutase (LAM) (EC 5.4.3.2) (KAM)	kamA BSU19690	54074		SUBUNIT: Homotetramer. {ECO:0000269|PubMed:10839984}.
O34680	YDIP_BACSU	Type II methyltransferase M2.BsuMI (M2.BsuMI) (EC 2.1.1.37) (BsuMI modification methylase subunit YdiP) (Cytosine-specific methyltransferase M2.BsuMI)	ydiP BSU06070	43284		SUBUNIT: Monomer (PubMed:3150363). May form a complex with YdiP, also seems to be active alone (Probable). {ECO:0000269|PubMed:3150363, ECO:0000305|PubMed:11751814}.
O34693	RQCH_BACSU	Rqc2 homolog RqcH (RqcH)	rqcH yloA BSU15640	65205		SUBUNIT: Associates with stalled 50S ribosomal subunits. {ECO:0000255|HAMAP-Rule:MF_00844, ECO:0000269|PubMed:31155236}.
O34714	OXDC_BACSU	Oxalate decarboxylase OxdC (EC 4.1.1.2)	oxdC yvrK BSU33240	43566		SUBUNIT: Homohexamer. {ECO:0000269|PubMed:11546787, ECO:0000269|PubMed:12056897}.
O34746	FABH1_BACSU	Beta-ketoacyl-[acyl-carrier-protein] synthase III 1 (Beta-ketoacyl-ACP synthase III 1) (KAS III 1) (EC 2.3.1.180) (EC 2.3.1.300) (3-oxoacyl-[acyl-carrier-protein] synthase 3 1) (3-oxoacyl-[acyl-carrier-protein] synthase III 1) (Branched-chain beta-ketoacyl-[acyl-carrier-protein] synthase 1) (bFabH1)	fabHA fabH fabH1 yjaX BSU11330	33732		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01815}.
O34748	RECQ_BACSU	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ yocI BSU19220	67353		SUBUNIT: Monomeric (Probable) (PubMed:25246477). Interacts with the 10 C-terminal residues of SsbA (PubMed:25246477). {ECO:0000269|PubMed:25246477, ECO:0000305|PubMed:25246477}.
O34777	OHRR_BACSU	Organic hydroperoxide resistance transcriptional regulator	ohrR ykmA BSU13150	17003		SUBUNIT: Homodimer.
O34798	PDAC_BACSU	Peptidoglycan-N-acetylmuramic acid deacetylase PdaC (Peptidoglycan MurNAc deacetylase) (EC 3.5.1.-) (Polysaccharide deacetylase PdaC)	pdaC yjeA BSU12100	53839		
O34817	NAGR_BACSU	HTH-type transcriptional repressor NagR (N-acetylglucosamine utilization regulator)	nagR yvoA BSU35030	27507		SUBUNIT: Homodimer (PubMed:19342794, PubMed:20047956, PubMed:25564531). Forms dimers via the C-terminal effector-binding domain (PubMed:20047956). At high concentrations, probably forms polymers along the DNA (PubMed:24673833). {ECO:0000269|PubMed:19342794, ECO:0000269|PubMed:20047956, ECO:0000269|PubMed:24673833, ECO:0000269|PubMed:25564531}.
O34840	CHAA_BACSU	Ca(2+)/H(+) antiporter ChaA	chaA yfkE BSU07920	37522		SUBUNIT: Homotrimer. {ECO:0000269|PubMed:23798403}.
O34860	RSBRB_BACSU	RsbT co-antagonist protein RsbRB (Stressosome protein RsbRB)	rsbRB ykoB BSU13200	32387		SUBUNIT: Interacts with RsbRA and RsbS in the stressosome. The stressosome probably also contains RsbRC and RsbRD. {ECO:0000269|PubMed:15312768}.
O34919	YOSS_BACSU	SPbeta prophage-derived deoxyuridine 5'-triphosphate nucleotidohydrolase YosS (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	yosS yojU BSU20020	16148		SUBUNIT: Homotrimer. {ECO:0000269|PubMed:15939294, ECO:0000269|PubMed:21358047, ECO:0000269|PubMed:23897460}.
O34926	CYPX_BACSU	Pulcherriminic acid synthase (EC 1.14.15.13) (CYP134A1) (Cyclo-L-leucyl-L-leucyl dipeptide oxidase) (Cytochrome P450 CypX)	cypX cyp134 cypB BSU35060	45473		SUBUNIT: Homodimer. {ECO:0000269|PubMed:20690619}.
O34928	PDAA_BACSU	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA (Peptidoglycan MurNAc deacetylase) (EC 3.5.1.-)	pdaA yfjS BSU07980	30069		
O34939	YDIO_BACSU	Type II methyltransferase M1.BsuMI (M1.BsuMI) (EC 2.1.1.37) (BsuMI modification methylase subunit YdiO) (Cytosine-specific methyltransferase M1.BsuMI)	ydiO BSU06060	48909		SUBUNIT: Monomer (PubMed:3150363). May form a complex with YdiP, also seems to be active alone (Probable). {ECO:0000269|PubMed:3150363, ECO:0000305|PubMed:11751814}.
O34962	MAO4_BACSU	Bifunctional malic/malolactic enzyme (EC 1.1.1.40) (EC 4.1.1.101) (Malolactic enzyme) (MLE) (NADP-dependent malic enzyme) (NADP-ME)	ytsJ BSU29220	43667		SUBUNIT: Interacts with BrxC. {ECO:0000269|PubMed:33722570}.
O35000	NAGB_BACSU	Glucosamine-6-phosphate deaminase 1 (EC 3.5.99.6) (GlcN6P deaminase 1) (GNPDA 1) (Glucosamine-6-phosphate isomerase 1)	nagB BSU35020	26991		SUBUNIT: Monomer. {ECO:0000269|PubMed:15755726}.
O35002	CTPB_BACSU	Carboxy-terminal processing protease CtpB (C-terminal processing protease) (EC 3.4.21.102)	ctpB yvjB BSU35240	52798	O35002; P26936	SUBUNIT: Homodimer. {ECO:0000269|PubMed:24243021}.
O35013	YTKD_BACSU	Putative 8-oxo-dGTP diphosphatase YtkD (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (dGTP pyrophosphohydrolase)	ytkD mutTA BSU30630	18512		
O54408	RELA_BACSU	GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (ppGpp synthase I)	relA BSU27600	84824		SUBUNIT: Homodimer (PubMed:33619274). At very low potassium concentrations, when intracellular levels of c-di-AMP are low, interacts with apo-DarB (PubMed:33619274). c-di-AMP inhibits the binding of DarB to RelA (PubMed:33619274). {ECO:0000269|PubMed:33619274}.
P00497	PUR1_BACSU	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	purF BSU06490	51692		SUBUNIT: Homotetramer. {ECO:0000269|PubMed:8197456}.
P04189	SUBT_BACSU	Subtilisin E (EC 3.4.21.62)	aprE apr aprA sprE BSU10300	39479		
