Entry	Entry Name	Protein names	Gene Names	Mass	Interacts with	Subunit structure
P00561	AK1H_ECOLI	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	thrA thrA1 thrA2 b0002 JW0001	89120		SUBUNIT: Homotetramer.
P00562	AK2H_ECOLI	Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	metL metM b3940 JW3911	88888		SUBUNIT: Homotetramer.
P00579	RPOD_ECOLI	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD alt b3067 JW3039	70263	P0A8V2; P0A8T7; P0AFX4; P32267	SUBUNIT: Interacts transiently with the RNA polymerase catalytic core formed by RpoA, RpoB, RpoC and RpoZ (2 alpha, 1 beta, 1 beta' and 1 omega subunit) to form the RNA polymerase holoenzyme that can initiate transcription. Identified in a complex containing RpoD, the RNA polymerase subunits RpoA, RpoB and RpoZ, CRP and DNA. Interacts with Rsd; this prevents interaction with the RNA polymerase catalytic core and with promoter DNA, and as a consequence, promotes transcription from promoters that require alternative sigma factors. Interacts with phage T4 AsiA; this interferes with binding to DNA and to the RNA polymerase. {ECO:0000255|HAMAP-Rule:MF_00963, ECO:0000269|PubMed:15257291, ECO:0000269|PubMed:17681541, ECO:0000269|PubMed:19903881, ECO:0000269|PubMed:21829166, ECO:0000269|PubMed:23389035, ECO:0000269|PubMed:24843001}.; SUBUNIT: (Microbial infection) Interacts with Escherichia phage lambda antitermination protein Q. {ECO:0000269|PubMed:24440517}.
P00582	DPO1_ECOLI	DNA polymerase I (POL I) (EC 2.7.7.7)	polA resA b3863 JW3835	103118		SUBUNIT: Single-chain monomer with multiple functions.
P00634	PPB_ECOLI	Alkaline phosphatase (APase) (EC 3.1.3.1)	phoA b0383 JW0374	49439	P0AEG4; P10408; Q5S007	SUBUNIT: Isozymes 1 and 3 are a dimer of identical chains, isozyme 2 is a dimer of heterogeneous chains, one of each of the subunits from isozymes 1 and 3.
P00722	BGAL_ECOLI	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ b0344 JW0335	116483	P00722	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:11045615, ECO:0000269|PubMed:11732897, ECO:0000269|PubMed:14621996, ECO:0000269|PubMed:8008071}.
P00803	LEP_ECOLI	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)	lepB b2568 JW2552	35960		
P00804	LSPA_ECOLI	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	lspA lsp b0027 JW0025	18156		
P00805	ASPG2_ECOLI	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)	ansB b2957 JW2924	36851	P00805	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:12595697, ECO:0000269|PubMed:1906013, ECO:0000269|PubMed:4561256, ECO:0000269|PubMed:8434007, ECO:0000269|PubMed:8706862}.
P00811	AMPC_ECOLI	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase)	ampC ampA b4150 JW4111	41556		SUBUNIT: Monomer. {ECO:0000269|PubMed:11478888}.
P00861	DCDA_ECOLI	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	lysA b2838 JW2806	46177	P0AE88	
P00864	CAPP_ECOLI	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppc glu b3956 JW3928	99063		SUBUNIT: Homotetramer.
P00893	ILVI_ECOLI	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	ilvI b0077 JW0076	62984		SUBUNIT: Dimer of large and small chains.
P00894	ILVH_ECOLI	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	ilvH brnP b0078 JW0077	17977		SUBUNIT: Dimer of large and small chains.
P00903	PABA_ECOLI	Aminodeoxychorismate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)	pabA b3360 JW3323	20772		SUBUNIT: Monomer. Heterodimer consisting of two non-identical subunits: a glutamine amidotransferase subunit (PabA) and a aminodeoxychorismate synthase subunit (PabB). {ECO:0000269|PubMed:8679677}.
P00904	TRPGD_ECOLI	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]	trpGD trpD b1263 JW1255	56870		SUBUNIT: Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE). {ECO:0000250}.
P00914	PHR_ECOLI	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	phrB phr b0708 JW0698	53667	P68739	SUBUNIT: Monomer. {ECO:0000269|PubMed:7604260}.
P00926	SDHD_ECOLI	D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD)	dsdA b2366 JW2363	47901		SUBUNIT: Monomer. {ECO:0000269|PubMed:22197591}.
P00935	METB_ECOLI	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)	metB b3939 JW3910	41550		SUBUNIT: Homotetramer. {ECO:0000269|PubMed:2405903, ECO:0000269|PubMed:9843488}.
P00936	CYAA_ECOLI	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	cyaA cya b3806 JW3778	97586	P15038	
P00946	MANA_ECOLI	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	manA pmi b1613 JW1605	42850	P18196	
P00956	SYI_ECOLI	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS ilvS b0026 JW0024	104297	P19930; P02925; P0CE47; P39336	SUBUNIT: Monomer.
P00957	SYA_ECOLI	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	alaS lovB b2697 JW2667	96032	P00957	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:7005211}.
P00959	SYM_ECOLI	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG b2114 JW2101	76255	P60422	SUBUNIT: Homodimer. {ECO:0000269|PubMed:11243794}.
P00962	SYQ_ECOLI	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	glnS b0680 JW0666	63478		SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_00126}.
P00963	ASNA_ECOLI	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	asnA b3744 JW3722	36651	P00963	SUBUNIT: Homodimer.
P00968	CARB_ECOLI	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB pyrA b0033 JW0031	117842	P0A6F1	SUBUNIT: Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4. {ECO:0000255|HAMAP-Rule:MF_01210, ECO:0000269|PubMed:4944634}.
P02358	RS6_ECOLI	Small ribosomal subunit protein bS6 (30S ribosomal protein S6) [Cleaved into: Small ribosomal subunit protein bS6, fully modified isoform; Small ribosomal subunit protein bS6, non-modified isoform]	rpsF b4200 JW4158	15703	P0A7T7	SUBUNIT: Part of the 30S ribosomal subunit (PubMed:328274, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:27934701, PubMed:12244297, PubMed:27906160, PubMed:27906161, PubMed:28077875). Interacts weakly with uL2 in one of the 3.5 A resolved structures (PubMed:16272117). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12244297, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:28077875, ECO:0000269|PubMed:328274}.
P02359	RS7_ECOLI	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)	rpsG b3341 JW3303	20019	P0A707; P37765; P0A850	SUBUNIT: Part of the 30S ribosomal subunit (PubMed:385062, PubMed:7556101, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:27934701, PubMed:12244297, PubMed:27906160, PubMed:27906161, PubMed:28077875). Contacts proteins S9 and S11 (By similarity). Cross-links to IF3 and the P and E site tRNAs (PubMed:7000779, PubMed:6349681, PubMed:8524654). {ECO:0000250|UniProtKB:P17291, ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12244297, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:28077875, ECO:0000269|PubMed:385062, ECO:0000269|PubMed:7556101, ECO:0000269|PubMed:8524654, ECO:0000305|PubMed:6349681, ECO:0000305|PubMed:7000779}.
P02916	MALF_ECOLI	Maltose/maltodextrin transport system permease protein MalF	malF b4033 JW3993	57013	P0AEX9; P68183	SUBUNIT: The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE). Protein stability and stable complex formation require YidC. {ECO:0000269|PubMed:10809785, ECO:0000269|PubMed:18456666, ECO:0000269|PubMed:2026607, ECO:0000269|PubMed:2155217}.
P02918	PBPA_ECOLI	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcA ponA b3396 JW3359	93636	P45464; P0AD65	
P02919	PBPB_ECOLI	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcB pbpF ponB b0149 JW0145	94293	P0AD68; P29131; P0AB38	SUBUNIT: Forms a trimeric complex with MipA and MltA. Has also been shown to exist as monomer or homodimer; homodimer of Alpha and Gamma isozymes can be found. Interacts with UvrA, FtsL and FtsN. {ECO:0000269|PubMed:10037771, ECO:0000269|PubMed:19458048}.
P02920	LACY_ECOLI	Lactose permease (Lactose-proton symport)	lacY b0343 JW0334	46503		SUBUNIT: Monomer.
P02921	MELB_ECOLI	Melibiose permease (Melibiose carrier) (Melibiose transporter) (Melibiose/cation symporter) (Na+ (Li+)/melibiose symporter) (Thiomethylgalactoside permease II)	melB mel-4 b4120 JW4081	52636		SUBUNIT: Monomer and homodimer. {ECO:0000269|PubMed:2185831, ECO:0000269|PubMed:7703254}.
P02925	RBSB_ECOLI	Ribose import binding protein RbsB	rbsB prlB rbsP b3751 JW3730	30950	P00956; P0AGI1	SUBUNIT: The complex is composed of an ATP-binding protein (RbsA), two transmembrane proteins (RbsC) and a solute-binding protein (RbsB). {ECO:0000269|PubMed:25533465}.
P02929	TONB_ECOLI	Protein TonB	tonB exbA b1252 JW5195	26094	P0ABU7; P0ABV2; P13036; P05825; P06971; P69776	SUBUNIT: Homodimer. Forms a complex with the accessory proteins ExbB and ExbD.
P02930	TOLC_ECOLI	Outer membrane protein TolC (Multidrug efflux pump subunit TolC) (Outer membrane factor TolC)	tolC colE1-i mtcB mukA refI toc weeA b3035 JW5503	53741	P0AE06; P75830; P02930	SUBUNIT: Homotrimer. Part of tripartite efflux systems, which are composed of an inner membrane transporter, a periplasmic membrane fusion protein, and an outer membrane component, TolC. The complexes form a large protein conduit and can translocate molecules across both the inner and outer membranes. TolC interacts with the membrane fusion proteins AcrA, EmrA and MacA. {ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:15342230, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:18955484, ECO:0000269|PubMed:19342493, ECO:0000269|PubMed:19805313, ECO:0000269|PubMed:21325274, ECO:0000269|PubMed:9044294}.
P02931	OMPF_ECOLI	Outer membrane porin F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein F) (Outer membrane protein IA) (Porin OmpF)	ompF cmlB coa cry tolF b0929 JW0912	39333	P76506; P02931; P08083; P09883	SUBUNIT: Homotrimer (PubMed:2464593, PubMed:16079137, PubMed:9843370, PubMed:18636093). Forms mixed heterotrimers with OmpC and with PhoE; other mixed heterotrimers are also probable (PubMed:2464593). {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:18636093, ECO:0000269|PubMed:2464593, ECO:0000269|PubMed:9843370}.; SUBUNIT: (Microbial infection) Trimeric complexes with colicin E3, BtuB and OmpF can be cross-linked and immunoprecipitated (PubMed:18636093). {ECO:0000269|PubMed:18636093}.
P02942	MCP1_ECOLI	Methyl-accepting chemotaxis protein I (MCP-I) (Serine chemoreceptor protein)	tsr cheD b4355 JW4318	59443		
P02943	LAMB_ECOLI	Maltoporin (Maltose outer membrane channel) (Maltose-inducible porin) (Phage lambda receptor protein)	lamB malB b4036 JW3996	49912	P10408	SUBUNIT: Homotrimer formed of three 18-stranded antiparallel beta-barrels, containing three independent channels (PubMed:1988451, PubMed:16079137, PubMed:7824948, PubMed:8805519, PubMed:9299337). An intrasubunit disulfide bond contributes to trimer stability (PubMed:1988451). {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:1988451, ECO:0000269|PubMed:7824948, ECO:0000269|PubMed:8805519, ECO:0000269|PubMed:9299337}.
P03004	DNAA_ECOLI	Chromosomal replication initiator protein DnaA	dnaA b3702 JW3679	52551	P66817; P03004; P0ACB0; P0ABT2; P69931; P0ACF0; P18843; P60422	SUBUNIT: Some 20 DnaA protein molecules bind their sites in oriC. Forms the RIDA (regulatory inactivation of DnaA) complex with ATP-DnaA, ADP-Hda and the DNA-loaded sliding beta clamp (dnaN). Interacts with DiaA; this stimulates the association of DnaA with the origin of replication. {ECO:0000269|PubMed:17699754, ECO:0000269|PubMed:18977760}.
P03007	DPO3E_ECOLI	DNA polymerase III subunit epsilon (EC 2.7.7.7)	dnaQ mutD b0215 JW0205	27099	P10443; P0A988; P06710; P28630; P0ABS8	SUBUNIT: In a ternary complex this subunit contacts both the beta sliding clamp (dnaN) and the polymerase subunit (dnaE) (PubMed:26499492). The DNA polymerase III holoenzyme complex contains at least 10 different subunits organized into 3 functionally essential subassemblies: the Pol III core, the beta sliding clamp processivity factor and the clamp-loading complex. The Pol III core (subunits alpha, epsilon and theta) contains the polymerase and the 3'-5' exonuclease proofreading activities (PubMed:6340117). The polymerase is tethered to the template via the dimeric beta sliding clamp processivity factor. The clamp loader (also called gamma complex) assembles the beta sliding clamp onto the primed template and plays a central role in the organization and communication at the replication fork. The clamp-loading complex contains delta, delta', psi and chi, and 3 copies of either or both of two different DnaX proteins, gamma and tau. The DNA replisome complex has a single clamp loader (3 tau and 1 each of delta, delta', psi and chi subunits) which binds 3 Pol III cores (1 core on the leading strand and 2 on the lagging strand) each with a beta sliding clamp dimer. Additional proteins in the replisome are other copies of gamma, psi and chi, Ssb, DNA helicase and RNA primase (PubMed:20413500, PubMed:22157955). {ECO:0000269|PubMed:11937058, ECO:0000269|PubMed:20413500, ECO:0000269|PubMed:22157955, ECO:0000269|PubMed:26499492, ECO:0000269|PubMed:6340117}.
P03018	UVRD_ECOLI	DNA helicase II (EC 5.6.2.4) (DNA 3'-5' helicase II)	uvrD mutU pdeB rad recL b3813 JW3786	81990	P0A9P0; P25665; P23367; P0A8V2; P0A8T7	
P03023	LACI_ECOLI	Lactose operon repressor	lacI b0345 JW0336	38590	P03023	SUBUNIT: Homotetramer.
P03819	KEFC_ECOLI	Glutathione-regulated potassium-efflux system protein KefC (K(+)/H(+) antiporter)	kefC trkC b0047 JW0046	67796	P0A754	SUBUNIT: Homodimer. Interacts with the regulatory subunit KefF, forming a heterotetramer with 2:2 stoichiometry. Interaction with KefF is required for optimal activity. The active antiporter may be formed by the heterotetramer, or by an octamer. {ECO:0000255|HAMAP-Rule:MF_01413, ECO:0000269|PubMed:17679694, ECO:0000269|PubMed:19523906, ECO:0000269|PubMed:21041667}.
P03959	KDPA_ECOLI	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)	kdpA b0698 JW0686	59189		SUBUNIT: The system is composed of three essential subunits: KdpA, KdpB and KdpC (PubMed:2849541, PubMed:9858692, PubMed:28636601, PubMed:30478378). The complex also contains KdpF, a small non-essential subunit (PubMed:10608856, PubMed:28636601, PubMed:30478378). The KdpFABC complex exists as a dimer above concentrations of 30-50 nM, whereas the complex exists as a functional monomer at lower concentrations (PubMed:18298081). {ECO:0000269|PubMed:10608856, ECO:0000269|PubMed:18298081, ECO:0000269|PubMed:2849541, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378, ECO:0000269|PubMed:9858692}.
P03960	KDPB_ECOLI	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB b0697 JW0685	72199	P03961	SUBUNIT: The system is composed of three essential subunits: KdpA, KdpB and KdpC (PubMed:2849541, PubMed:9858692, PubMed:28636601, PubMed:30478378). The complex also contains KdpF, a small non-essential subunit (PubMed:10608856, PubMed:28636601, PubMed:30478378). The KdpFABC complex exists as a dimer above concentrations of 30-50 nM, whereas the complex exists as a functional monomer at lower concentrations (PubMed:18298081). {ECO:0000269|PubMed:10608856, ECO:0000269|PubMed:18298081, ECO:0000269|PubMed:2849541, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378, ECO:0000269|PubMed:9858692}.
P03961	KDPC_ECOLI	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	kdpC b0696 JW0684	20267	P03960	SUBUNIT: The system is composed of three essential subunits: KdpA, KdpB and KdpC (PubMed:2849541, PubMed:9858692, PubMed:28636601, PubMed:30478378). The complex also contains KdpF, a small non-essential subunit (PubMed:10608856, PubMed:28636601, PubMed:30478378). The KdpFABC complex exists as a dimer above concentrations of 30-50 nM, whereas the complex exists as a functional monomer at lower concentrations (PubMed:18298081). {ECO:0000269|PubMed:10608856, ECO:0000269|PubMed:18298081, ECO:0000269|PubMed:2849541, ECO:0000269|PubMed:28636601, ECO:0000269|PubMed:30478378, ECO:0000269|PubMed:9858692}.
P04036	DAPB_ECOLI	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	dapB b0031 JW0029	28757		SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_00102, ECO:0000269|PubMed:7893644, ECO:0000269|PubMed:7893645, ECO:0000269|PubMed:8873595, ECO:0000269|PubMed:9398235}.
P04079	GUAA_ECOLI	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase)	guaA b2507 JW2491	58679	P04079	SUBUNIT: Homodimer.
P04152	UMUC_ECOLI	Protein UmuC (DNA polymerase V) (Pol V)	umuC b1184 JW1173	47680	PRO_0000027305 [P0AG11]	
P04391	OTC1_ECOLI	Ornithine carbamoyltransferase subunit I (OTCase-1) (EC 2.1.3.3)	argI b4254 JW4211	36907		SUBUNIT: In E.coli strain K12, trimer of identical or non-identical chains are composed of ArgI (I) and/or ArgF (F) (PubMed:6369246, PubMed:4558857, PubMed:789338). The trimer has the following composition: FFI, FFF, FII, III (PubMed:6369246, PubMed:4558857, PubMed:789338). E.coli strains B and W, which are known to contain only ArgI, produce only a trimer of identical chains (III). {ECO:0000269|PubMed:10747936, ECO:0000269|PubMed:4558857, ECO:0000269|PubMed:6369246, ECO:0000269|PubMed:789338, ECO:0000269|PubMed:9253409, ECO:0000269|PubMed:9275160}.
P04395	3MG2_ECOLI	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	alkA aidA b2068 JW2053	31393	P06959	SUBUNIT: Monomer.
P04425	GSHB_ECOLI	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)	gshB gsh-II b2947 JW2914	35561		SUBUNIT: Homotetramer.
P04693	TYRB_ECOLI	Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57) (Beta-methylphenylalanine transaminase) (EC 2.6.1.107)	tyrB b4054 JW4014	43538		SUBUNIT: Homodimer.
P04805	SYE_ECOLI	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	gltX b2400 JW2395	53816	P76160	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_00022, ECO:0000269|PubMed:3015933}.
P04825	AMPN_ECOLI	Aminopeptidase N (EC 3.4.11.2) (Alpha-aminoacylpeptide hydrolase)	pepN b0932 JW0915	98919	P19318; P04825	
P04968	ILVA_ECOLI	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)	ilvA b3772 JW3745	56195		SUBUNIT: Homotetramer. {ECO:0000269|PubMed:9562556}.
P04982	RBSD_ECOLI	D-ribose pyranase (EC 5.4.99.62)	rbsD b3748 JW5857	15292		SUBUNIT: Homodecamer. {ECO:0000269|PubMed:12738765, ECO:0000269|PubMed:16731978}.
P04983	RBSA_ECOLI	Ribose import ATP-binding protein RbsA (EC 7.5.2.7)	rbsA b3749 JW3728	55042	P16685; P0AGI1	SUBUNIT: The complex is composed of an ATP-binding protein (RbsA), two transmembrane proteins (RbsC) and a solute-binding protein (RbsB). {ECO:0000255|HAMAP-Rule:MF_01716, ECO:0000269|PubMed:25533465}.
P04993	RECD_ECOLI	RecBCD enzyme subunit RecD (EC 5.6.2.3) (DNA 5'-3' helicase subunit RecB) (Exodeoxyribonuclease V 67 kDa polypeptide) (Exodeoxyribonuclease V alpha chain) (Exonuclease V subunit RecD) (ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD)	recD hopE b2819 JW2787	66902		SUBUNIT: Heterotrimer of RecB, RecC and RecD. All subunits contribute to DNA-binding. {ECO:0000255|HAMAP-Rule:MF_01487, ECO:0000269|PubMed:15538360, ECO:0000269|PubMed:1618858, ECO:0000269|PubMed:18668125, ECO:0000269|PubMed:3526335}.; SUBUNIT: (Microbial infection) Lambda virus GamS protein interacts with the enzyme without displacing any of the subunits. {ECO:0000269|PubMed:1653221}.
P04994	EX7L_ECOLI	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (ExoVII large subunit) (Exonuclease VII large subunit)	xseA b2509 JW2493	51832	P76168	SUBUNIT: Heterooligomer composed of two different subunits with an approximate ratio of 4:1 for small to large subunit (Probable). Also estimated to have a 6:1 ration for small to large subunits (Probable). {ECO:0000305|PubMed:22718974, ECO:0000305|PubMed:6284744}.
